order_item_id,order_id,product_id,quantity,unit_price,total_price
OI000254,O000568,P0196,4,97.68,390.72
OI000255,O000248,P0096,3,65.44,196.32
OI000256,O000293,P0137,3,98.66,295.98
OI000257,O000382,P0030,2,45.34,90.68
OI000258,O000990,P0164,5,221.03,1105.15
OI000259,O000984,P0061,1,68.73,68.73
OI000260,O000686,P0146,1,62.75,62.75
OI000261,O000023,P0030,1,45.34,45.34
OI000262,O000474,P0123,2,81.92,163.84
OI000263,O000896,P0075,5,101.68,508.4
OI000264,O000211,P0162,4,274.18,1096.72
OI000265,O000728,P0044,4,83.65,334.6
OI000266,O000236,P0133,1,447.5,447.5
OI000267,O000536,P0110,5,129.63,648.15
OI000268,O000927,P0166,3,114.06,342.18
OI000269,O000454,P0012,5,45.12,225.6
OI000270,O000834,P0094,1,76.44,76.44
OI000271,O000539,P0111,1,80.09,80.09
OI000272,O000349,P0108,3,73.46,220.38
OI000273,O000914,P0102,1,112.47,112.47
OI000274,O000946,P0137,5,98.66,493.3
OI000275,O000175,P0117,5,227.62,1138.1
OI000276,O000512,P0024,4,81.07,324.28
OI000277,O000872,P0031,5,88.15,440.75
OI000278,O000175,P0181,5,59.13,295.65
OI000279,O000894,P0191,1,267.43,267.43
OI000280,O000675,P0038,1,68.52,68.52
OI000281,O000739,P0056,5,175.19,875.95
OI000282,O000330,P0179,3,423.2,1269.6
OI000283,O000286,P0200,2,98.0,196.0
OI000284,O000462,P0056,5,175.19,875.95
OI000285,O000698,P0019,5,67.31,336.55
OI000286,O000575,P0150,1,172.48,172.48
OI000287,O000708,P0004,5,289.27,1446.35
OI000288,O000067,P0070,4,104.08,416.32
OI000289,O000512,P0059,3,193.41,580.23
OI000290,O000264,P0148,2,300.56,601.12
OI000291,O000788,P0082,1,108.55,108.55
OI000292,O000873,P0137,2,98.66,197.32
OI000293,O000396,P0183,3,79.24,237.72
OI000294,O000241,P0094,5,76.44,382.2
OI000295,O000477,P0067,2,337.1,674.2
OI000296,O000535,P0033,2,69.13,138.26
OI000297,O000011,P0038,2,68.52,137.04
OI000298,O000358,P0106,5,121.07,605.35
OI000299,O000622,P0140,1,420.42,420.42
OI000300,O000120,P0174,1,347.83,347.83
OI000301,O000101,P0029,3,137.48,412.44
OI000302,O000799,P0082,3,108.55,325.65
OI000303,O000882,P0174,3,347.83,1043.49
OI000304,O000657,P0191,4,267.43,1069.72
OI000305,O000737,P0154,3,418.25,1254.75
OI000306,O000203,P0070,1,104.08,104.08
OI000307,O000726,P0044,1,83.65,83.65
OI000308,O000252,P0031,2,88.15,176.3
OI000309,O000486,P0014,5,160.43,802.15
OI000310,O000938,P0080,3,282.38,847.14
OI000311,O000204,P0001,2,205.63,411.26
OI000312,O000779,P0029,5,137.48,687.4
OI000313,O000674,P0023,1,260.5,260.5
OI000314,O000371,P0197,1,188.73,188.73
OI000315,O000639,P0022,4,111.65,446.6
OI000316,O000853,P0035,4,46.2,184.8
OI000317,O000280,P0130,4,113.44,453.76
OI000318,O000797,P0127,1,56.63,56.63
OI000319,O000127,P0192,4,233.79,935.16
OI000320,O000428,P0048,4,22.94,91.76
OI000321,O000512,P0139,1,175.56,175.56
OI000322,O000865,P0027,4,38.79,155.16
OI000323,O000152,P0142,3,59.27,177.81
OI000324,O000019,P0173,5,93.0,465.0
OI000325,O000053,P0051,2,136.99,273.98
OI000326,O000157,P0037,4,163.56,654.24
OI000327,O000264,P0096,1,65.44,65.44
OI000328,O000040,P0195,1,68.25,68.25
OI000329,O000864,P0004,5,289.27,1446.35
OI000330,O000392,P0141,5,247.81,1239.05
OI000331,O000684,P0034,3,118.3,354.9
OI000332,O000978,P0158,1,93.37,93.37
OI000333,O000105,P0084,1,100.61,100.61
OI000334,O000072,P0020,4,244.35,977.4
OI000335,O000361,P0160,4,92.71,370.84
OI000336,O000983,P0077,1,59.39,59.39
OI000337,O000221,P0142,2,59.27,118.54
OI000338,O000108,P0067,1,337.1,337.1
OI000339,O000278,P0160,4,92.71,370.84
OI000340,O000769,P0031,2,88.15,176.3
OI000341,O000928,P0090,4,105.69,422.76
OI000342,O000752,P0149,2,60.85,121.7
OI000343,O000879,P0152,3,124.65,373.95
OI000344,O000282,P0053,3,89.14,267.42
OI000345,O000710,P0184,5,93.76,468.8
OI000346,O000462,P0076,1,79.1,79.1
OI000347,O000631,P0040,2,73.43,146.86
OI000348,O000954,P0089,1,137.76,137.76
OI000349,O000356,P0017,1,48.14,48.14
OI000350,O000640,P0051,2,136.99,273.98
OI000351,O000647,P0136,2,60.43,120.86
OI000352,O000647,P0193,5,76.48,382.4
OI000353,O000154,P0133,3,447.5,1342.5
OI000354,O000230,P0046,4,93.66,374.64
OI000355,O000176,P0094,4,76.44,305.76
OI000356,O000531,P0192,4,233.79,935.16
OI000357,O000693,P0105,5,184.9,924.5
OI000358,O000441,P0109,2,269.31,538.62
OI000359,O000314,P0021,3,115.8,347.4
OI000360,O000299,P0187,5,36.09,180.45
OI000361,O000011,P0132,3,67.76,203.28
OI000362,O000446,P0036,5,117.88,589.4
OI000363,O000864,P0102,3,112.47,337.41
OI000364,O000327,P0156,1,33.32,33.32
OI000365,O000208,P0134,1,39.68,39.68
OI000366,O000899,P0121,2,79.61,159.22
OI000367,O000572,P0009,1,220.03,220.03
OI000368,O000163,P0115,3,47.59,142.77
OI000369,O000159,P0043,5,62.64,313.2
OI000370,O000675,P0102,2,112.47,224.94
OI000371,O000983,P0064,2,105.72,211.44
OI000372,O000451,P0099,3,136.69,410.07
OI000373,O000507,P0137,1,98.66,98.66
OI000374,O000210,P0199,4,341.73,1366.92
OI000375,O000173,P0061,4,68.73,274.92
OI000376,O000996,P0161,3,98.07,294.21
OI000377,O000601,P0114,5,100.79,503.95
OI000378,O000699,P0077,3,59.39,178.17
OI000379,O000252,P0116,3,345.28,1035.84
OI000380,O000705,P0093,1,133.0,133.0
OI000381,O000859,P0162,5,274.18,1370.9
OI000382,O000743,P0100,1,83.19,83.19
OI000383,O000736,P0198,5,267.05,1335.25
OI000384,O000419,P0172,1,71.84,71.84
OI000385,O000420,P0112,4,101.84,407.36
OI000386,O000871,P0138,2,117.83,235.66
OI000387,O000505,P0097,1,24.44,24.44
OI000388,O000554,P0155,2,81.82,163.64
OI000389,O000594,P0061,2,68.73,137.46
OI000390,O000398,P0045,5,55.08,275.4
OI000391,O000217,P0156,5,33.32,166.6
OI000392,O000231,P0091,3,53.61,160.83
OI000393,O000071,P0017,3,48.14,144.42
OI000394,O000196,P0043,2,62.64,125.28
OI000395,O000208,P0062,4,71.74,286.96
OI000396,O000747,P0072,3,138.56,415.68
OI000397,O000200,P0135,3,118.42,355.26
OI000398,O000944,P0009,2,220.03,440.06
OI000399,O000379,P0182,3,99.66,298.98
OI000400,O000338,P0196,5,97.68,488.4
OI000401,O000387,P0003,3,251.79,755.37
OI000402,O000937,P0107,1,246.04,246.04
OI000403,O000548,P0198,1,267.05,267.05
OI000404,O000691,P0029,2,137.48,274.96
OI000405,O000651,P0031,5,88.15,440.75
OI000406,O000302,P0023,4,260.5,1042.0
OI000407,O000141,P0026,5,120.5,602.5
OI000408,O000515,P0178,2,284.43,568.86
OI000409,O000595,P0191,2,267.43,534.86
OI000410,O000626,P0010,2,48.48,96.96
OI000411,O000382,P0092,2,251.54,503.08
OI000412,O000172,P0005,5,283.06,1415.3
OI000413,O000760,P0012,4,45.12,180.48
OI000414,O000881,P0120,1,55.36,55.36
OI000415,O000864,P0176,5,215.29,1076.45
OI000416,O000477,P0091,3,53.61,160.83
OI000417,O000312,P0026,5,120.5,602.5
OI000418,O000919,P0198,5,267.05,1335.25
OI000419,O000661,P0153,2,83.43,166.86
OI000420,O000305,P0051,5,136.99,684.95
OI000421,O000232,P0081,4,78.99,315.96
OI000422,O000329,P0136,4,60.43,241.72
OI000423,O000673,P0028,2,46.28,92.56
OI000424,O000099,P0173,1,93.0,93.0
OI000425,O000103,P0161,2,98.07,196.14
OI000426,O000049,P0180,2,43.78,87.56
OI000427,O000917,P0061,4,68.73,274.92
OI000428,O000699,P0048,1,22.94,22.94
OI000429,O000693,P0026,4,120.5,482.0
OI000430,O000177,P0138,4,117.83,471.32
OI000431,O000523,P0188,2,252.61,505.22
OI000432,O000090,P0132,5,67.76,338.8
OI000433,O000468,P0046,2,93.66,187.32
OI000434,O000747,P0143,1,31.09,31.09
OI000435,O000247,P0147,4,323.57,1294.28
OI000436,O000472,P0003,1,251.79,251.79
OI000437,O000966,P0055,5,99.52,497.6
OI000438,O000037,P0187,1,36.09,36.09
OI000439,O000231,P0152,3,124.65,373.95
OI000440,O000012,P0117,4,227.62,910.48
OI000441,O000963,P0097,5,24.44,122.2
OI000442,O000544,P0084,2,100.61,201.22
OI000443,O000030,P0193,5,76.48,382.4
OI000444,O000958,P0178,3,284.43,853.29
OI000445,O000195,P0172,1,71.84,71.84
OI000446,O000037,P0110,4,129.63,518.52
OI000447,O000455,P0159,5,86.03,430.15
OI000448,O000290,P0109,4,269.31,1077.24
OI000449,O000895,P0031,1,88.15,88.15
OI000450,O000615,P0017,4,48.14,192.56
OI000451,O000370,P0042,5,84.32,421.6
OI000452,O000317,P0126,4,57.21,228.84
OI000453,O000473,P0128,3,81.48,244.44
OI000454,O000223,P0144,2,71.73,143.46
OI000455,O000633,P0090,1,105.69,105.69
OI000456,O000677,P0023,1,260.5,260.5
OI000457,O000921,P0100,5,83.19,415.95
OI000458,O000746,P0188,2,252.61,505.22
OI000459,O000143,P0124,3,83.79,251.37
OI000460,O000625,P0135,4,118.42,473.68
OI000461,O000728,P0177,2,271.9,543.8
OI000462,O000876,P0104,2,53.78,107.56
OI000463,O000833,P0142,2,59.27,118.54
OI000464,O000593,P0133,2,447.5,895.0
OI000465,O000889,P0032,1,98.45,98.45
OI000466,O000988,P0152,2,124.65,249.3
OI000467,O000766,P0020,2,244.35,488.7
OI000468,O000356,P0152,2,124.65,249.3
OI000469,O000804,P0010,5,48.48,242.4
OI000470,O000459,P0135,2,118.42,236.84
OI000471,O000390,P0001,2,205.63,411.26
OI000472,O000792,P0185,5,333.87,1669.35
OI000473,O000802,P0188,1,252.61,252.61
OI000474,O000968,P0064,5,105.72,528.6
OI000475,O000542,P0095,5,300.44,1502.2
OI000476,O000137,P0082,1,108.55,108.55
OI000477,O000990,P0055,3,99.52,298.56
OI000478,O000525,P0098,2,87.52,175.04
OI000479,O000201,P0145,4,45.17,180.68
OI000480,O000498,P0151,3,373.89,1121.67
OI000481,O000160,P0071,5,108.8,544.0
OI000482,O000723,P0176,5,215.29,1076.45
OI000483,O000326,P0019,3,67.31,201.93
OI000484,O000424,P0193,3,76.48,229.44
OI000485,O000636,P0154,5,418.25,2091.25
OI000486,O000325,P0064,2,105.72,211.44
OI000487,O000203,P0148,3,300.56,901.68
OI000488,O000170,P0149,3,60.85,182.55
OI000489,O000159,P0019,1,67.31,67.31
OI000490,O000063,P0118,5,118.57,592.85
OI000491,O000446,P0198,4,267.05,1068.2
OI000492,O000578,P0042,5,84.32,421.6
OI000493,O000117,P0132,2,67.76,135.52
OI000494,O000756,P0029,2,137.48,274.96
OI000495,O000584,P0135,4,118.42,473.68
OI000496,O000145,P0071,2,108.8,217.6
OI000497,O000861,P0148,4,300.56,1202.24
OI000498,O000056,P0141,1,247.81,247.81
OI000499,O000148,P0050,4,115.95,463.8
OI000500,O000784,P0119,1,37.99,37.99
OI000501,O000064,P0052,1,81.47,81.47
OI000502,O000250,P0061,1,68.73,68.73
OI000503,O000575,P0155,3,81.82,245.46
OI000504,O000531,P0170,2,97.07,194.14
OI000505,O000440,P0088,2,107.19,214.38
OI000506,O000550,P0100,4,83.19,332.76
OI000507,O000188,P0175,1,226.29,226.29
OI000508,O000233,P0117,3,227.62,682.86
OI000509,O000914,P0059,2,193.41,386.82
OI000510,O000132,P0173,3,93.0,279.0
OI000511,O000933,P0176,5,215.29,1076.45
OI000512,O000707,P0016,5,75.2,376.0
OI000513,O000686,P0003,4,251.79,1007.16
OI000514,O000100,P0131,3,93.84,281.52
OI000515,O000379,P0011,3,332.11,996.33
OI000516,O000708,P0092,3,251.54,754.62
OI000517,O000668,P0016,4,75.2,300.8
OI000518,O000513,P0136,3,60.43,181.29
OI000519,O000216,P0185,5,333.87,1669.35
OI000520,O000806,P0157,2,329.97,659.94
OI000521,O000953,P0157,3,329.97,989.91
OI000522,O000593,P0027,1,38.79,38.79
OI000523,O000602,P0067,1,337.1,337.1
OI000524,O000557,P0055,2,99.52,199.04
OI000525,O000011,P0021,5,115.8,579.0
OI000526,O000332,P0041,4,329.52,1318.08
OI000527,O000910,P0177,5,271.9,1359.5
OI000528,O000116,P0034,5,118.3,591.5
OI000529,O000309,P0116,4,345.28,1381.12
OI000530,O000940,P0028,4,46.28,185.12
OI000531,O000625,P0053,4,89.14,356.56
OI000532,O000571,P0121,4,79.61,318.44
OI000533,O000647,P0046,3,93.66,280.98
OI000534,O000882,P0036,1,117.88,117.88
OI000535,O000830,P0126,5,57.21,286.05
OI000536,O000642,P0072,5,138.56,692.8
OI000537,O000683,P0085,2,82.19,164.38
OI000538,O000022,P0186,2,59.97,119.94
OI000539,O000739,P0104,4,53.78,215.12
OI000540,O000752,P0118,4,118.57,474.28
OI000541,O000672,P0070,4,104.08,416.32
OI000542,O000289,P0079,1,116.9,116.9
OI000543,O000658,P0123,2,81.92,163.84
OI000544,O000104,P0077,2,59.39,118.78
OI000545,O000138,P0194,1,284.46,284.46
OI000546,O000110,P0183,2,79.24,158.48
OI000547,O000770,P0007,4,360.51,1442.04
OI000548,O000539,P0166,3,114.06,342.18
OI000549,O000323,P0200,3,98.0,294.0
OI000550,O000518,P0133,4,447.5,1790.0
OI000551,O000406,P0054,2,31.28,62.56
OI000552,O000570,P0105,2,184.9,369.8
OI000553,O000206,P0196,4,97.68,390.72
OI000554,O000603,P0128,2,81.48,162.96
OI000555,O000602,P0181,3,59.13,177.39
OI000556,O000664,P0153,1,83.43,83.43
OI000557,O000363,P0062,3,71.74,215.22
OI000558,O000301,P0200,5,98.0,490.0
OI000559,O000860,P0061,3,68.73,206.19
OI000560,O000369,P0175,2,226.29,452.58
OI000561,O000708,P0149,4,60.85,243.4
OI000562,O000304,P0143,2,31.09,62.18
OI000563,O000968,P0192,2,233.79,467.58
OI000564,O000514,P0078,4,78.12,312.48
OI000565,O000361,P0031,4,88.15,352.6
OI000566,O000484,P0197,1,188.73,188.73
OI000567,O000208,P0053,1,89.14,89.14
OI000568,O000643,P0149,2,60.85,121.7
OI000569,O000581,P0127,4,56.63,226.52
OI000570,O000949,P0046,2,93.66,187.32
OI000571,O000913,P0007,1,360.51,360.51
OI000572,O000017,P0092,5,251.54,1257.7
OI000573,O000406,P0149,2,60.85,121.7
OI000574,O000913,P0019,3,67.31,201.93
OI000575,O000229,P0120,5,55.36,276.8
OI000576,O000442,P0171,2,98.58,197.16
OI000577,O000236,P0062,2,71.74,143.48
OI000578,O000330,P0059,3,193.41,580.23
OI000579,O000373,P0065,3,107.74,323.22
OI000580,O000424,P0146,2,62.75,125.5
OI000581,O000996,P0162,2,274.18,548.36
OI000582,O000573,P0115,5,47.59,237.95
OI000583,O000917,P0049,1,210.17,210.17
OI000584,O000871,P0167,3,107.33,321.99
OI000585,O000920,P0054,1,31.28,31.28
OI000586,O000103,P0022,2,111.65,223.3
OI000587,O000770,P0190,3,109.52,328.56
OI000588,O000654,P0161,1,98.07,98.07
OI000589,O000663,P0119,5,37.99,189.95
OI000590,O000693,P0073,3,112.77,338.31
OI000591,O000270,P0150,1,172.48,172.48
OI000592,O000331,P0183,4,79.24,316.96
OI000593,O000088,P0161,1,98.07,98.07
OI000594,O000718,P0137,4,98.66,394.64
OI000595,O000092,P0066,2,55.48,110.96
OI000596,O000647,P0041,1,329.52,329.52
OI000597,O000228,P0049,4,210.17,840.68
OI000598,O000779,P0079,5,116.9,584.5
OI000599,O000576,P0127,5,56.63,283.15
OI000600,O000383,P0058,5,390.27,1951.35
OI000601,O000209,P0079,4,116.9,467.6
OI000602,O000761,P0177,1,271.9,271.9
OI000603,O000326,P0179,2,423.2,846.4
